BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
50,47,11,12,0,7,0,68,59
58,42,9,13,0,5,0,72,55
56,37,12,13,0,9,0,77,50
60,41,6,12,0,8,0,74,53
56,42,12,10,0,7,0,75,52
70,36,8,9,0,4,0,82,45
45,57,7,11,0,7,0,59,68
65,34,9,13,0,6,0,80,47
54,47,8,11,0,7,0,69,58
49,52,8,9,0,9,0,66,61
47,48,11,10,0,11,0,69,58
55,44,11,9,0,8,0,74,53
61,41,11,9,0,5,0,77,50
46,55,7,10,0,9,0,62,65
48,53,12,7,0,7,0,67,60
48,52,9,12,0,6,0,63,64
57,35,12,13,0,10,0,79,48
59,41,10,10,0,7,0,76,51
64,37,8,11,0,7,0,79,48
53,46,11,12,0,5,0,69,58
55,38,13,15,0,6,0,74,53
51,46,10,15,0,5,0,66,61
53,49,9,9,0,7,0,69,58
54,52,9,7,0,5,0,68,59
46,50,10,15,0,6,0,62,65
61,45,8,8,0,5,0,74,53
53,54,5,9,0,6,0,64,63
60,35,12,12,0,8,0,80,47
58,48,8,6,0,7,0,73,54
44,61,5,8,0,9,0,58,69
59,38,10,11,0,9,0,78,49
52,45,13,12,0,5,0,70,57
57,50,6,9,0,5,0,68,59
54,46,8,12,0,7,0,69,58
55,41,12,10,0,9,0,76,51
54,52,8,7,0,6,0,68,59
49,43,11,15,0,9,0,69,58
49,58,7,9,0,4,0,60,67
55,42,11,12,0,7,0,73,54
47,45,13,14,0,8,0,68,59
55,42,10,13,0,7,0,72,55
52,50,11,8,0,6,0,69,58
52,42,12,16,0,5,0,69,58
63,40,7,10,0,7,0,77,50
55,45,9,13,0,5,0,69,58
48,52,8,12,0,7,0,63,64
57,42,12,10,0,6,0,75,52
45,52,8,16,0,6,0,59,68
55,47,10,7,0,8,0,73,54
55,39,14,13,0,6,0,75,52
53,44,9,14,0,7,0,69,58
55,57,5,6,0,4,0,64,63
56,44,9,13,0,5,0,70,57
62,48,4,6,0,7,0,73,54
50,49,7,13,0,8,0,65,62
58,40,13,7,0,9,0,80,47
58,43,9,10,0,7,0,74,53
64,38,9,8,0,8,0,81,46
50,48,13,8,0,8,0,71,56
60,37,9,14,0,7,0,76,51
59,39,10,11,0,8,0,77,50
52,40,16,11,0,8,0,76,51
60,38,13,12,0,4,0,77,50
52,48,12,7,0,8,0,72,55
54,45,12,11,0,5,0,71,56
61,42,7,10,0,7,0,75,52
59,41,8,13,0,6,0,73,54
53,47,10,10,0,7,0,70,57
60,40,10,9,0,8,0,78,49
60,42,6,13,0,6,0,72,55
58,42,10,12,0,5,0,73,54
52,51,4,13,0,7,0,63,64
54,51,8,9,0,5,0,67,60
50,54,10,6,0,7,0,67,60
57,46,4,13,0,7,0,68,59
57,40,10,13,0,7,0,74,53
50,52,6,12,0,7,0,63,64
53,47,10,14,0,3,0,66,61
54,43,12,10,0,8,0,74,53
47,53,9,13,0,5,0,61,66
50,50,8,12,0,7,0,65,62
57,37,14,13,0,6,0,77,50
59,35,14,12,0,7,0,80,47
44,52,7,14,0,10,0,61,66
45,49,13,11,0,9,0,67,60
51,59,6,8,0,3,0,60,67
55,40,12,12,0,8,0,75,52
52,39,12,15,0,9,0,73,54
58,48,8,7,0,6,0,72,55
52,48,6,11,0,10,0,68,59
51,44,12,12,0,8,0,71,56
51,50,10,9,0,7,0,68,59
56,41,12,13,0,5,0,73,54
57,41,9,14,0,6,0,72,55
51,50,11,7,0,8,0,70,57
57,40,10,11,0,9,0,76,51
51,47,11,11,0,7,0,69,58
48,52,10,10,0,7,0,65,62
56,38,9,14,0,10,0,75,52
58,46,7,9,0,7,0,72,55
44,53,14,11,0,5,0,63,64
55,47,9,9,0,7,0,71,56
45,51,9,13,0,9,0,63,64
